ID,1912
10001,21
10002,-9
10003,-9
10004,24
10008,-9
10009,16
10010,68
10011,70
10013,172
10014,6
10015,10
10016,0
10018,67
10020,48
10021,17
10022,2
10022,2
10024,52
10024,52
10028,-9
10029,22
10031,201
10033,5
10034,-9
10036,52
10038,14
10039,65
10040,13
10040,13
10041,-9
10042,-9
10043,11
10044,0
10044,0
10045,18
10046,28
10049,-9
10050,-9
10051,-9
10052,-9
10053,-9
10054,-9
10056,-9
10059,-9
10064,-9
10065,-9
10068,-9
10069,-9
10070,-9
10072,-9
10075,-9
10077,-9
10079,-9
10082,-9
10083,-9
10085,27
10086,-9
10087,-9
10088,-9
10089,231
10090,-9
10091,-9
10092,-9
10093,-9
10095,-9
10096,-9
10097,-9
10103,16
10104,6
10108,7
10109,-9
10110,24
10112,-9
10114,-9
10115,-9
10116,-9
10116,-9
10117,-9
10120,-9
10121,-9
10122,-9
10124,-9
10126,-9
10127,-9
10128,-9
10129,-9
10130,-9
10131,62
10132,-9
10134,-9
10135,-9
10136,-9
10137,-9
10138,-9
10139,5
10140,18
10141,-9
10142,-9
10143,-9
10144,-9
10145,-9
10146,28
10147,-9
10148,-9
10149,80
10150,-9
10151,-9
10152,-9
20001,20
20002,0
20004,68
20005,21
20006,32
20007,64
20008,61
20009,84
20010,-9
20011,15
20014,11
20016,96
20017,-9
20018,-9
20019,-9
20020,5
20021,42
20023,-9
20024,-9
20025,-9
20026,-9
20026,-9
20027,-9
20029,-9
20034,-9
20035,-9
20036,82
20037,-9
20038,0
20039,-9
20043,-9
20044,-9
20049,-9
20051,-9
20052,-9
20053,-9
20055,-9
20056,-9
20057,-9
20058,10
20059,-9
20060,-9
20061,-9
20065,-9
20067,-9
20068,-9
20071,-9
20072,17
20073,27
20074,-9
20079,-9
20082,-9
20082,-9
20085,-9
20086,-9
20087,-9
20091,-9
20092,-9
20095,-9
20096,-9
20097,-9
20100,-9
20100,-9
20102,376
20104,-9
20105,-9
20106,-9
20107,-9
20108,-9
20109,44
20110,-9
20112,-9
20113,43
20114,-9
20115,-9
20116,-9
20117,-9
20118,-9
30001,-9
30003,117
30004,2
30006,-9
30007,22
30008,10
30010,13
30012,54
30015,10
30018,-9
30019,-9
30020,-9
30025,3
30026,-9
30027,-9
30029,-9
30031,17
30034,-9
30035,-9
30038,-9
30039,-9
30040,-9
30044,-9
30048,-9
30051,-9
30052,-9
30054,-9
30056,-9
30058,-9
30060,130
30063,-9
30064,-9
30065,-9
30067,-9
30067,-9
30067,-9
30067,-9
30067,-9
30068,-9
30070,-9
30073,-9
30074,-9
30078,-9
30080,118
30083,-9
30085,-9
